LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frame),(frame),(frame),(µm),(µm),(µm),(µm),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(quality),(µm),(µm),,(µm/frame),,(rad/frame)
Track_0,0,0,2,0,0,0,0,0,1.0,0.0,1.0,3.1741201273621393,1678.8196669526828,914.547285605445,0.0,3.1741201273621393,3.1741201273621393,3.1741201273621393,3.1741201273621393,NaN,591.5,3.1741201273621393,3.1741201273621393,1.0,3.1741201273621393,1.0,NaN
Track_1,1,1,26,3,0,0,0,1,28.0,0.0,28.0,5.645750486079502,786.0744414242893,1254.034797850936,0.0,1.9187173974480747,4.708857787320419,0.3602644270451103,1.769502164089565,1.1176020607974093,281.5,53.569935138744064,7.5183699316405646,0.10539028041488618,0.20163394593141076,0.10508788120626164,1.9141117776634042
Track_2,2,2,2,0,0,0,0,0,1.0,0.0,1.0,6.496116218080887,877.890547230556,403.9170776352913,0.0,6.496116218080887,6.496116218080887,6.496116218080887,6.496116218080887,NaN,83.5,6.496116218080887,6.496116218080887,1.0,6.496116218080887,1.0,NaN
Track_3,3,3,7,2,0,0,0,1,8.0,0.0,8.0,35.50488970554526,1295.9521395203706,567.8663153214799,0.0,4.453677163578849,8.804250444529494,1.4114442224084582,3.0879818370369847,3.4228257502036623,163.42857142857142,38.558066350682765,35.50488970554526,0.920816136956426,4.4381112131931575,0.996504921705375,0.8595275482983439
Track_4,4,4,2,0,0,0,0,0,1.0,0.0,1.0,20.161005216984147,485.8549939185873,784.2336758789568,0.0,20.161005216984147,20.161005216984147,20.161005216984147,20.161005216984147,NaN,1083.5,20.161005216984147,20.161005216984147,1.0,20.161005216984147,1.0,NaN
Track_5,5,5,15,3,0,0,0,2,18.0,0.0,18.0,8.348792714134476,1549.146903350161,1143.628834864706,0.0,2.197181273671945,8.2172121728175,0.5707303238058764,1.8247120899846259,1.831039984932882,265.8666666666667,39.396984935640354,9.924729238652533,0.21191450888369295,0.4638218174519153,0.21109856660883194,1.4477286854312281
Track_6,6,6,9,2,0,0,0,3,13.0,0.0,13.0,12.422714209422404,1188.0998224713703,409.72789352696753,0.0,2.0232382311741843,3.979233233008842,0.48196507037500264,1.6889942956222879,1.475114972282504,216.55555555555554,21.412164895908212,12.422714209422404,0.5801708640771929,0.9555934007248003,0.4723088887907296,0.9685369135333782
