LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),(µm/frame),(µm),(frame),(µm),(µm),(µm),
ID6146 → ID4781,0,6146,4781,11.611402254966238,NaN,3.1741201273621393,3.1741201273621393,0.5,1678.8196669526828,914.547285605445,0.0,
ID11651 → ID9453,1,11651,9453,3.147198068981484,2.1303238236664246,1.1748467346319085,1.1748467346319085,13.5,785.5601746744716,1253.7326456306273,0.0,
ID14870 → ID13799,1,14870,13799,17.128328338928984,1.9255919031919253,3.095434936026455,3.095434936026455,18.5,786.2576726271367,1254.148425808214,0.0,
ID4856 → ID5820,1,4856,5820,4.702121973228236,2.5755153404397793,0.8472630510437053,0.8472630510437053,5.5,789.2839897173578,1255.1818092062492,0.0,
ID9453 → ID11998,1,9453,11998,1.14831259271612,1.685371824068726,1.2958909301037695,1.2958909301037695,14.5,786.1416843615307,1253.1497925943415,0.0,
ID17974 → ID17648,1,17974,17648,4.390732207614349,3.0478185122470327,1.1991314027402007,1.1991314027402007,24.5,782.1833081600919,1251.3581768145964,0.0,
ID6346 → ID8084,1,6346,8084,0.14558239048775823,2.3324601269171,0.7251240070585534,0.7251240070585534,7.5,788.8730648349357,1254.715548965788,0.0,
ID8084 → ID8868,1,8084,8868,32.0291532301436,1.2287351976951606,2.4624055648802687,4.9248111297605375,9.0,786.7619507368795,1254.1202883882174,0.0,
ID8868 → ID10904,1,8868,10904,11.764237496574689,2.4929305789597724,1.9854936594297017,1.9854936594297017,10.5,785.0132311138466,1254.428324238529,0.0,
ID20094 → ID20090,1,20094,20090,2.7555014339017543,2.7820531184526462,0.5176426929498218,0.5176426929498218,27.5,786.8912258818425,1252.9970084908457,0.0,
ID16681 → ID16574,1,16681,16574,11.53046066880847,2.9059201763920424,2.35341072522105,2.35341072522105,22.5,784.9311311590379,1252.3977180567458,0.0,
