LABEL,TRACK_ID,N_PREDECESSORS,N_SUCCESSORS,DELTA_T,DISTANCE,MEAN_VELOCITY,TOTAL_DISTANCE,FIRST,LAST,MEAN_SUCCESSORS_DELAY,MEAN_PREDECESSORS_DELAY
Label,Track ID,Track ID,Track ID,Branch duration,Distance traveled,Mean velocity,Total distance,First spot ID,Last spot ID,Mean successors delay,Mean predecessors delay
Label,Track ID,N predecessors,N successors,Delta T,Dist,Mean V,Tot Dist,First ID,Last ID,Succ Delay,Pred Delay
,,,,(frame),( ),( /frame),( ),,,(frame),(frame)
Track_1164: ID575163 → ID574894,156,0,0,1.0,8.245917370304989,8.245917370304989,8.245917370304989,575163,574894,0.0,0.0
Track_1167: ID575639 → ID577020,159,0,0,8.0,2.388226853657886,0.6900261141794415,5.520208913435532,575639,577020,0.0,0.0
Track_1166: ID575733 → ID576082,158,0,0,3.0,3.3631436002390376,1.313978940981408,3.941936822944224,575733,576082,0.0,0.0
Track_1165: ID575793 → ID576535,157,0,0,7.0,1.7065998298544236,0.5659552475940032,3.961686733158022,575793,576535,0.0,0.0
Track_1168: ID575996 → ID578009,160,0,0,13.0,1.669198105234144,1.9353682538343397,25.159787299846418,575996,578009,0.0,0.0
Track_1169: ID576099 → ID576242,161,0,0,1.0,0.48026854356450926,0.48026854356450926,0.48026854356450926,576099,576242,0.0,0.0
Track_1176: ID576396 → ID576900,168,0,0,1.0,1.0735246658047872,1.0735246658047872,1.0735246658047872,576396,576900,0.0,0.0
Track_1174: ID576454 → ID576416,166,0,0,1.0,6.351834865636301,6.351834865636301,6.351834865636301,576454,576416,0.0,0.0
Track_1173: ID576483 → ID577381,165,0,0,4.0,5.59864827223573,1.595918508083066,6.383674032332264,576483,577381,0.0,0.0
Track_1171: ID576599 → ID575950,163,0,0,1.0,15.289266180489697,15.289266180489697,15.289266180489697,576599,575950,0.0,0.0
Track_1175: ID576694 → ID577516,167,0,0,4.0,7.390131005131893,2.853458485371473,11.413833941485892,576694,577516,0.0,0.0
Track_1172: ID576695 → ID576442,164,0,0,3.0,0.7722769698941443,0.6664469324697397,1.9993407974092192,576695,576442,0.0,0.0
Track_1170: ID576769 → ID576674,162,0,0,2.0,6.925583238350024,3.580014105766709,7.160028211533418,576769,576674,0.0,0.0
Track_1178: ID576958 → ID576864,170,0,0,1.0,17.067777075367307,17.067777075367307,17.067777075367307,576958,576864,0.0,0.0
Track_1179: ID577078 → ID577509,171,0,0,1.0,0.14740853494961897,0.14740853494961897,0.14740853494961897,577078,577509,0.0,0.0
Track_1177: ID577114 → ID577490,169,0,0,2.0,2.936704461824028,2.8332999988541014,5.666599997708203,577114,577490,0.0,0.0
Track_1184: ID577247 → ID577586,176,0,0,2.0,19.368941410587464,10.211625362233562,20.423250724467124,577247,577586,0.0,0.0
Track_1183: ID577273 → ID584479,175,0,0,41.0,4.776489512618786,1.2459366378982817,51.08340215382955,577273,584479,0.0,0.0
