LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),( /frame),( ),(frame),( ),( ),( ),
ID554826 → ID554635,0,554826,554635,10.4794942263659,NaN,2.472510671265626,2.472510671265626,0.5,190.84791862126843,249.69902151150592,0.0,
ID555081 → ID554981,0,555081,554981,28.001999737254167,0.6223726654857255,1.7748404899983132,1.7748404899983132,2.5,191.0060701478177,249.64202746435757,0.0,
ID554981 → ID554772,0,554981,554772,0.042748175674357146,2.4476331638561266,1.0609589373655395,1.0609589373655395,3.5,191.5935604618703,249.64604428372036,0.0,
ID556111 → ID556342,0,556111,556342,2.3386296255660275,2.8404194792802633,0.9527792227627648,0.9527792227627648,8.5,191.78805757304414,250.39347936634275,0.0,
ID554635 → ID555081,0,554635,555081,9.016805446574846,2.85517804832646,0.4615098269384594,0.4615098269384594,1.5,190.2112309491544,248.9059879831938,0.0,
ID556882 → ID557258,0,556882,557258,0.49845164371933703,0.8940942619703511,0.7036458338415928,0.7036458338415928,15.5,193.03271090105954,250.16699564451858,0.0,
ID555918 → ID556248,0,555918,556248,1.7303898738156906,1.530083757151511,1.1184739141694107,1.1184739141694107,12.5,192.398388602309,249.92991839296926,0.0,
ID557258 → ID557428,0,557258,557428,0.10559253894387122,1.0015840358335915,0.38364729059120756,0.38364729059120756,16.5,193.49076650862366,250.32032055246341,0.0,
ID556286 → ID556828,0,556286,556828,0.31162485053948225,2.3949179277546975,0.1998075445137308,0.1998075445137308,10.5,191.63739340962218,249.91946047513557,0.0,
ID555274 → ID554524,0,555274,554524,0.10118359022111437,1.3100060593301623,0.26147930039366807,0.26147930039366807,5.5,191.62160080971933,250.17619969938164,0.0,
ID554772 → ID555274,0,554772,555274,3.486765560338736,2.9209012714633156,1.0147014847691525,1.0147014847691525,4.5,191.4771567749464,249.63969284557703,0.0,
